recall_number,classification,reason_for_recall,product_description,report_date
D-321-2016,Class II,Lack of Assurance of Sterility:  A recall of all compounded sterile preparations within expiry is being initiated due to observations associated with poor sterile production practices resulting in a lack of sterility assurance for their finished drugs.,"Progesterone 100 mg/mL in Corn Oil Injection, 2 mL vials, Rx only, Essential Wellness PHARMACY, 4625 N. University, Peoria, IL 61614.",20151125
D-0080-2021,Class II,CGMP Deviations: Next Advanced Antibacterial Hand Sanitizer was found to be below the label claim for ethanol content and contained methanol. Other products were recalled because they were manufactured in the same facility as the product found to contain methanol.,"Assured Instant Hand Sanitizer Aloe & Moisturizers (Ethyl Alcohol 70% v/v) 8 fl oz / 237 mL bottle, Distributed By: Greenbrier International, Inc. 500 Volvo Parkway, Chesapeake, VA 23320. Made in Mexico.UPC 639277928610",20201125
D-1285-2020,Class II,Some bottles may contain mixed strengths of the product.,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate Tablets ( Mixed Amphetamine Salts Product), 5 mg, 100 count bottles, Rx Only, Teva Pharmaceuticals USA, INC. North Wales, PA 19454, NDC 0555-0971-02",20200610
D-0623-2022,Class II,CGMP Deviations: Products were manufactured with contaminated excipient that was recalled from the excipient supplier.,"No Drip Nasal Spray, Oxymetazoline HCl 0.05% Nasal Decongestant, 1 FL Oz (30 mL) per bottle, Distributed by SUPERVALU INC., Eden Prairie, MN 55344 USA. NDC 41163-703-10",20220302
D-1398-2016,Class II,Presence of Particulate Matter: API contaminated with glass particulate was used to produce sterile injectable drugs.,"2 mcg/mL Fentanyl Citrate and 0.16% Bupivacaine HCl (Preservative Free) in 0.9% Sodium Chloride,	 100 mL in 150 mL Baxter Intravia Bag, Service Code 2K8102, Rx Only,  Compounded by PharMEDium Services, LLC, Memphis, TN 36141, NDC 61553-102-48",20160727
D-1443-2014,Class III,Labeling: Incorrect or missing lot and or Exp Date: The bottles were labeled with an incorrect expiry date 11/2016.  The correct expiry date is 09/2016.,"VIRACEPT (R) (nelfinavir mesylate) Tablets, 625 mg, 120-count bottle, Rx only, Manufactured by: Agouron Pharmaceuticals, Inc. A Pfizer Company,  Distributed by: ViV Healthcare Company, Research Triangle Park, NC 27709  NDC 63010-027-70",20140723
D-0572-2024,Class II,CGMP deviations,"Little Moon Essentials, Crampy Belly Rub (Camphor 1.1%), Packaged as a) 4 FL OZ (118ML) glass jar, UPC Code 6 73673 88260 2, NDC 70722-260-04; b) 2 FL OZ (59ML) glass jar, UPC Code 6 73673 88204 6, NDC 70722-260-02, Little Moon Essentials LLC Dania Beach, Fl 33004",20240710
D-0194-2019,Class II,Lack of Assurance of Sterility,"Trimix QM10 Papaverine 30 mg/Phentolamine 4 mg/Atropine 1 mg/PGE 150 mcg/mL Injectable, Pharm D Solutions, Houston, Texas --- NDC 69699-1352-05",20181107
D-1066-2013,Class II,Temperature abuse: Certain vials of Ifosfamide IV products were not refrigerated at certain Amerisource Bergen Drug Corp distribution centers.,"Ifosfamide Injection 3g/60 mL, Single dose vial, Rx only, Sterile, For Intravenous Use, Refrigerate at 2-8 degrees celcius, Distributed by Pfizer Labs, Division of Pfizer Inc., New York, NY 10017, NDC 0069-4496-22",20131009
D-1035-2017,Class II,"Labeling; Label Mix up; cartons labeled as Amantadine HCl 100 mg Capsules contain unit dose blister cards of Cyclobenzaprine HCl Tablet, USP 5 mg","Amantadine HCl Capsules, USP, 100 mg, Rx Only,  50 Capsules (5x10) Unit Dose Cartons, Manufactured for: AvKARE Inc, Pulaski, TN 38478 --- NDC: 50268-0069-15",20170809
D-0429-2021,Class II,CGMP Deviations: Intermittent exposure to temperature excursion during storage.,"Edarbi (azilsartan medoxomil) tablets 80 mg 30 Tablets Rx Only NDC 60631-080-30 Manufactured for: arbor Pharmaceuticals Atlanta, GA 30328",20210602
D-1519-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"HCG 1,100 IU/ml Injection, Multi-Dose Vial, Sterile, Refrigerate The Compounding Pharmacy of America, Knoxville, TN",20150923
D-367-2014,Class II,"Presence of Foreign Substance; heavy metals (chromium, titanium etc) and inactive components of the product were visually observed during routine stability testing","Carisoprodol Tablets, USP 350 mg, Rx Only, 1000 tablets.  Dist by: West-ward Pharmaceutical Corp. Eatontown, NJ 07724. Mfd by: Shasun Chemicals and Drugs Limited, Unit II, R. S. Na 32, 33, 743 PIMS Rd, Periyakalepet, Pondicherry. 605014 INDIA. NDC 0143-9749-10.",20131225
D-0179-2024,Class II,CGMP Deviations: Products were exposed to temperatures outside of the products labeled storage conditions.,"Enoxaparin Sodium Injection, USP, 150MG/ML Single-Dose Syringes with Automatic Safety Device, For Subcutaneous Injection, Ten 1 mL Syringes per box, Rx Only, Sandoz Inc, Princeton, NJ 08540.  NDC: 0781-3299-69",20240103
D-1178-2018,Class I,"Failed Content Uniformity Specifications: Product was manufactured using an adulterated active pharmaceutical ingredient; additionally, lack of process controls and good manufacturing practices resulted in finished product failing content uniformity specifications which can result in a product having a strength that is more or less than is labeled.","Levothyroxine and Liothyronine (Thyroid Tablets, USP), 1 grain (60 mg), 100-count bottles, Rx Only, Manufactured for: Westminster Pharmaceuticals, LLC, 154 Downing Street, Unit 1 & 2, Olive Branch, MS 38654, NDC 69367-156-04.",20180829
D-0176-2018,Class II,Labeling: Incorrect or Missing Lot and/or Exp Date: Beyond Use Date (BUD) exceed the BUD/EXP of at least one ingredient used to make final product.,"Human Chorionic Gonadotropin 6,000 iu/Vial, For SC Use -Lyophilized, Rx Only, KRS Global Biotechnology, 791 Park of Commerce Blvd, Boca Raton, FL 33487.",20180117
D-0296-2023,Class II,Lack of sterility assurance,"HYDROMORPHONE (a) 1MG/ML IN NS,  50ML, 75 ML, 100ML, 175ML(NDC 00703-0018-01 and NDC 00409-2634-50) ; (b) 5MG/ML IN NS 60ML, 100ML, 250ML; pain, Rx only, used with a Curlin pump or no pump, Sentara Home Infusion Pharmacy Services, 535 Independence Pkwy, Ste 300, Chesapeake, VA 23320, NDC# 00409-2634-50",20230222
D-1744-2015,Class II,Lack of Assurance of Sterility; FDA inspection identified GMP violations potentially impacting product quality and sterility,"Testosterone 20 mg, Sterile Pellet, The Compounding Pharmacy of America, Knoxville, TN",20150923
D-518-2014,Class II,"Labeling: Label Mixup; FAMOTIDINE Tablet, 20 mg may be potentially mislabeled as    CARVEDILOL PHOSPHATE ER, Capsule, 20 mg, NDC 00007337113, Pedigree: W003225, EXP: 6/17/2014;  DULoxetine HCl DR, Capsule, 20 mg, NDC 00002323560, Pedigree: W003506, EXP: 6/21/2014;  FAMOTIDINE, Tablet, 20 mg, NDC 16714036104, Pedigree: W003507, EXP: 6/21/2014;  MYCOPHENOLATE MOFETIL, Capsule, 250 mg, NDC 0037822500","FAMOTIDINE Tablet, 20 mg, Over The Counter, Distributed by: AidaPak Service, LLC, NDC 16714036104",20140122
